date,price_usd,phase,cycle,bull_monthly,bear_drop_total,r_avg_total
2046-09-01,207017.79,Bear,10,0.04354202593798506,0.77,0.0013481991850226725
2046-10-01,183154.8,Bear,10,0.04354202593798506,0.77,0.0013481991850226725
2046-11-01,191129.73,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2046-12-01,199451.91,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2047-01-01,208136.45,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2047-02-01,217199.13,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2047-03-01,226656.42,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2047-04-01,236525.5,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2047-05-01,246824.3,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2047-06-01,257571.53,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2047-07-01,268786.72,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2047-08-01,280490.24,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2047-09-01,292703.35,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2047-10-01,305448.25,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2047-11-01,318748.08,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2047-12-01,332627.02,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2048-01-01,347110.28,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2048-02-01,362224.16,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2048-03-01,377996.13,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2048-04-01,394454.85,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2048-05-01,411630.21,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2048-06-01,429553.43,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2048-07-01,448257.05,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2048-08-01,467775.08,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2048-09-01,488142.95,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2048-10-01,509397.68,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2048-11-01,531577.89,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2048-12-01,554723.87,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2049-01-01,578877.67,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2049-02-01,604083.18,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2049-03-01,630386.18,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2049-04-01,657834.47,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2049-05-01,686477.92,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2049-06-01,716368.56,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2049-07-01,747560.7,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2049-08-01,780111.0,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2049-09-01,814078.62,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2049-10-01,849525.25,Bull,10,0.04354202593798506,0.77,0.0013481991850226725
2049-11-01,751600.3,Bear,11,0.042802907928451095,0.77,0.0008162272941134907
2049-12-01,664963.18,Bear,11,0.042802907928451095,0.77,0.0008162272941134907
2050-01-01,588312.74,Bear,11,0.042802907928451095,0.77,0.0008162272941134907
2050-02-01,520497.81,Bear,11,0.042802907928451095,0.77,0.0008162272941134907
2050-03-01,460499.92,Bear,11,0.042802907928451095,0.77,0.0008162272941134907
2050-04-01,407418.0,Bear,11,0.042802907928451095,0.77,0.0008162272941134907
2050-05-01,360454.84,Bear,11,0.042802907928451095,0.77,0.0008162272941134907
2050-06-01,318905.14,Bear,11,0.042802907928451095,0.77,0.0008162272941134907
2050-07-01,282144.88,Bear,11,0.042802907928451095,0.77,0.0008162272941134907
2050-08-01,249621.98,Bear,11,0.042802907928451095,0.77,0.0008162272941134907
2050-09-01,220848.0,Bear,11,0.042802907928451095,0.77,0.0008162272941134907
2050-10-01,195390.81,Bear,11,0.042802907928451095,0.77,0.0008162272941134907
2050-11-01,203754.1,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2050-12-01,212475.37,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2051-01-01,221569.93,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2051-02-01,231053.77,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2051-03-01,240943.54,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2051-04-01,251256.63,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2051-05-01,262011.14,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2051-06-01,273225.98,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2051-07-01,284920.85,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2051-08-01,297116.29,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2051-09-01,309833.73,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2051-10-01,323095.52,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2051-11-01,336924.94,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
2051-12-01,351346.31,Bull,11,0.042802907928451095,0.77,0.0008162272941134907
